u,g,r,i,z,redshift,class,snr_r,extinction_r
18.38203,17.21235,16.48123,16.04266,15.74634,0.09040105,GALAXY,29.67708,0.08293422
19.84454,18.65887,17.79334,17.35621,17.07149,0.1829389,GALAXY,13.91016,0.05394519
19.0113,17.76071,17.18725,16.84897,16.65424,0.05443105,GALAXY,18.94862,0.05676998
18.595,17.3646,16.80125,16.43574,16.22777,0.08647902,GALAXY,16.30339,0.05781123
20.66551,18.94508,17.8441,17.36091,17.0264,0.1802019,GALAXY,10.42019,0.05577636
21.79685,20.78637,19.75213,19.09785,18.79703,1.848906,QSO,6.147065,0.05830143
18.73962,16.79822,15.90245,15.50013,15.1948,0.05604844,GALAXY,36.10239,0.07478514
16.73124,16.38107,16.27991,16.42234,16.31459,0.01925544,GALAXY,19.20618,0.07325988
19.82378,18.22848,17.22835,16.72737,16.33634,0.1580052,GALAXY,14.54959,0.06095068
17.54855,16.31362,15.77629,15.4647,15.29189,0.04909616,GALAXY,16.87853,0.06390662
19.14818,17.77804,17.17623,16.83436,16.56537,0.05619027,GALAXY,13.492,0.06394354
18.1209,16.88544,16.22618,15.86416,15.64838,0.07949296,GALAXY,24.48124,0.06626175
16.90615,15.38732,14.6414,14.25954,13.96924,0.05605765,GALAXY,26.4793,0.07077956
17.06401,16.0445,15.65046,15.47324,15.38215,0.01947223,GALAXY,13.10003,0.07514296
18.70417,17.19168,16.44406,16.068,15.78112,0.05797697,GALAXY,25.58061,0.0733741
19.98692,18.19607,17.23878,16.75643,16.35785,0.05680472,GALAXY,19.86204,0.0685599
21.47007,20.03777,18.30676,17.71999,17.38095,0.3446063,GALAXY,11.59783,0.06577588
18.46304,17.64911,17.09474,16.93609,16.72613,0.02421522,GALAXY,23.87802,0.06941061
19.63987,17.84872,16.96343,16.55579,16.22674,0.07986312,GALAXY,19.31548,0.06573186
19.391,17.44875,16.49682,16.05046,15.71766,0.07954051,GALAXY,27.05426,0.06756569
20.18566,18.26125,17.31125,16.90341,16.53937,0.07994432,GALAXY,18.18086,0.06777263
20.2558,18.59851,17.82789,17.43598,17.15816,0.07943883,GALAXY,12.86967,0.06808989
19.62162,17.8635,16.87651,16.44688,16.07858,0.1264746,GALAXY,20.54741,0.06713716
20.07102,18.3093,17.38239,16.95937,16.61899,0.08008114,GALAXY,20.4261,0.06791469
19.84558,18.42119,17.63457,17.19323,16.89718,0.07981878,GALAXY,11.46518,0.06780597
18.22345,16.30947,15.43529,15.01965,14.69755,0.05752193,GALAXY,39.21509,0.07360963
18.78603,17.3358,16.57381,16.16052,15.87853,0.05761838,GALAXY,25.60418,0.07448298
19.86203,18.28955,17.46002,16.95148,16.59789,0.09745356,GALAXY,18.5106,0.07279733
19.79399,18.40955,17.83051,17.46952,17.32042,0.08029217,GALAXY,10.2588,0.07804675
20.43091,18.38001,17.4883,17.09564,16.78271,0.1077202,GALAXY,19.5462,0.05623383
18.18912,16.2288,15.27378,14.85454,14.52693,0.08959311,GALAXY,34.10346,0.05663693
19.7688,17.75268,16.78013,16.32403,15.94506,0.08751706,GALAXY,25.47145,0.05740824
18.69313,16.86063,15.94485,15.47219,15.11913,0.07958744,GALAXY,26.28766,0.06544125
19.81025,18.30079,17.69138,17.4584,17.27683,4.303107e-05,STAR,43.57198,0.07757628
19.27784,17.98645,17.50502,17.33382,17.23893,5.74745e-05,STAR,47.23895,0.07613226
21.13569,18.40669,16.89031,15.98996,15.463,9.97968e-05,STAR,15.87922,0.07604516
21.94536,20.36687,20.30009,20.16074,19.84763,2.810227,QSO,8.022541,0.07338343
19.35555,18.43813,18.12589,17.9842,17.89615,0.0004741906,STAR,33.92552,0.07973884
20.30489,17.86693,16.87639,16.51431,16.29439,3.258105e-05,STAR,61.48764,0.08136462
20.75282,18.19885,17.1452,16.74291,16.4967,8.00038e-05,STAR,52.73375,0.08279126
20.27194,19.06053,18.60942,18.4269,18.3572,0.0001089915,STAR,25.26972,0.08220807
19.04182,18.81069,18.48311,18.1283,18.13938,0.1569337,QSO,28.96484,0.08262401
18.65201,16.45048,15.51192,15.19148,15.03109,0.0001480293,STAR,74.46091,0.08401344
18.66015,16.72563,15.98611,15.77392,15.66006,7.326609e-05,STAR,71.35226,0.08236021
23.95189,20.27527,18.50505,17.84465,17.52609,0.3506424,GALAXY,8.690188,0.05806629
19.77948,19.6037,19.23636,18.92652,18.93778,1.581186,QSO,7.764561,0.05488635
19.35352,18.18326,17.61017,17.26666,17.05904,0.1328709,GALAXY,12.55318,0.05374066
20.54892,18.46709,17.25556,16.77426,16.40912,0.1808599,GALAXY,16.83682,0.05642043
19.77481,19.13172,18.71214,18.4957,18.17425,2.135929,QSO,23.05941,0.08362054
19.37279,18.15403,17.71364,17.55256,17.4918,3.020522e-05,STAR,42.57487,0.07780915
20.68271,18.0374,16.95218,16.21142,15.89921,7.513705e-05,STAR,60.42575,0.08104915
19.48571,18.16007,17.57871,17.32834,17.1859,1.859835e-05,STAR,44.30155,0.08008596
23.1811,21.10755,19.58361,18.74485,18.26574,0.000102301,STAR,10.11158,0.08566564
19.60022,18.73123,18.43563,18.31329,18.31227,0.0004783185,STAR,27.74813,0.08077507
18.9664,17.42356,16.5867,16.17835,15.88063,0.1169809,GALAXY,18.72551,0.07997964
16.02577,14.58922,14.04045,13.84311,13.80926,0.0001265024,STAR,63.74236,0.05627944
19.61678,17.75637,16.84444,16.4287,16.1262,0.08989805,GALAXY,26.7103,0.05670759
18.65591,17.56272,16.94772,16.55038,16.36911,0.1488825,GALAXY,27.24778,0.07653893
20.01459,18.31965,17.36397,16.94065,16.67393,1.208788,QSO,14.31315,0.0780193
22.89024,19.67967,17.89723,17.22474,16.86186,0.3256575,GALAXY,12.55337,0.1232698
20.83224,19.00783,17.5064,16.96999,16.60838,0.2482373,GALAXY,16.45385,0.1138212
19.79113,18.15676,17.30217,16.81071,16.48153,0.07548719,GALAXY,11.8063,0.1120157
18.77724,16.90768,15.97504,15.55585,15.2281,0.08285902,GALAXY,41.21334,0.07587192
19.54334,18.22064,17.5791,17.26144,17.05091,0.08355574,GALAXY,8.502719,0.07277232
22.46428,20.1174,18.43157,17.86481,17.53057,0.3046067,GALAXY,8.321959,0.07645765
21.16464,18.86293,17.42999,16.90643,16.59715,0.2226947,GALAXY,14.5468,0.08091303
18.94063,17.60943,16.9761,16.65085,16.59033,0.07501134,GALAXY,8.165555,0.08013795
26.20645,20.70518,18.7629,18.07975,17.65724,0.4331023,GALAXY,4.424903,0.078674
22.71946,20.90804,19.03441,18.28589,17.92228,0.4435689,GALAXY,4.699082,0.07773275
17.78028,16.58262,16.03289,15.71247,15.48475,0.04333659,GALAXY,21.86664,0.08259491
20.36633,18.11928,16.91769,16.43221,16.07516,0.158839,GALAXY,24.47205,0.0826091
19.97827,18.5642,17.77631,17.35977,17.10073,0.1093325,GALAXY,20.41044,0.08551642
23.31359,20.68397,18.96698,18.20519,17.82168,0.4358873,GALAXY,7.469139,0.08406886
22.9797,20.23991,18.55354,17.93233,17.54497,0.313062,GALAXY,8.501736,0.1160245
18.17856,16.30188,15.43004,15.01024,14.6877,0.06729691,GALAXY,36.84562,0.09681865
17.60233,16.41157,15.90137,15.60344,15.39849,0.03848149,GALAXY,30.23077,0.09227654
18.61738,17.5051,17.04059,16.7862,16.55529,0.01755854,GALAXY,22.25736,0.1063454
18.69045,17.60773,17.27621,17.0736,16.97232,0.02313828,GALAXY,6.331306,0.08069217
18.86098,17.91566,17.59587,17.36014,17.24053,0.04320542,GALAXY,13.04323,0.07394755
25.12173,21.24548,19.86864,19.06634,18.69495,0.4689964,GALAXY,4.445527,0.03593265
20.99389,19.14695,17.84185,17.32899,16.99649,0.2053998,GALAXY,16.41737,0.03549507
23.14158,20.83997,19.05854,18.45015,18.07415,0.3348558,GALAXY,10.7461,0.03554044
24.9004,21.83941,20.08941,19.27891,18.68232,0.446003,GALAXY,2.462989,0.03487111
22.89736,20.76927,19.02153,18.36552,17.971,0.3344389,GALAXY,8.392004,0.03648106
22.91812,21.65226,20.12528,19.33511,18.95297,0.4782223,GALAXY,4.223345,0.03804348
27.07635,22.40986,20.775,19.68745,19.21495,0.5732366,GALAXY,2.374365,0.03785021
22.55714,22.11689,20.50349,19.64481,19.13782,0.4649687,GALAXY,3.592038,0.0390166
22.36296,22.08932,20.91076,19.81905,19.12593,0.7934301,GALAXY,1.98037,0.03961691
23.86549,21.39929,20.05547,19.32408,19.16129,0.464392,GALAXY,4.516391,0.03911427
22.12135,20.84446,18.9757,18.40793,18.13253,0.3533564,GALAXY,8.558624,0.03694346
22.40414,22.91577,20.57182,19.366,18.85263,0.5213494,GALAXY,3.905953,0.03646718
26.03927,21.84518,20.15657,19.31803,18.89235,0.4670669,GALAXY,3.987061,0.03401897
25.76969,22.11954,20.48821,19.61092,18.9265,0.5012047,GALAXY,3.008791,0.03694608
23.17419,21.69081,20.10752,19.30337,18.87072,0.4834232,GALAXY,5.637783,0.04249709
23.34312,21.93994,20.33131,19.364,18.75811,0.5736285,GALAXY,2.650946,0.03105261
23.78031,21.62545,20.26246,19.45602,18.99156,0.4771133,GALAXY,3.41834,0.0292917
23.60568,21.49383,19.54203,18.60651,18.20801,0.4772091,GALAXY,5.769558,0.03064566
23.32567,22.24862,20.60995,19.47959,18.98916,0.5860029,GALAXY,2.488177,0.02983731
24.54649,22.73182,20.91585,19.91292,19.56834,0.6065953,GALAXY,0.9123777,0.03764687
24.31563,25.05266,22.20404,21.22043,19.89673,0.838429,GALAXY,1.087315,0.03621066
25.26925,23.18314,21.72432,20.53649,19.7729,0.5811362,GALAXY,1.230287,0.03722404
20.53147,20.865,20.81942,20.54576,20.22251,2.052659,QSO,5.723624,0.03651344
21.58052,21.60166,21.15348,21.16591,20.95285,1.305057,QSO,4.063703,0.03565693
23.13937,24.12656,21.89617,20.60872,19.80321,0.8442771,GALAXY,0.9991471,0.03674759
21.72076,21.89642,21.47577,21.49877,20.71775,1.377381,QSO,1.967985,0.03860367
23.20183,23.3677,21.49698,20.50334,19.86161,0.584287,GALAXY,1.716324,0.03650966
21.31587,21.27356,21.29733,20.92877,20.84621,2.117731,QSO,2.213514,0.04005608
24.25921,22.77607,21.394,20.11054,19.33992,5.960205e-05,STAR,2.530711,0.04193807
24.94372,25.30194,22.21709,20.99816,19.93895,0.8997549,GALAXY,0.4815258,0.04129417
23.50378,22.87269,21.52229,20.35337,19.6594,1.450453,GALAXY,0.8375405,0.04073389
23.33852,24.91648,21.74998,20.4387,19.7404,0.6625194,GALAXY,1.378228,0.04513758
23.5831,23.207,22.46702,21.08873,19.86592,0.8619123,GALAXY,0.6426979,0.04152094
26.30514,23.66294,21.34793,20.3072,19.5886,0.5561013,GALAXY,1.86793,0.04185929
21.404,21.51985,21.17433,21.05165,21.02613,1.346878,QSO,2.377092,0.04062501
21.70424,21.46979,21.27426,21.09225,20.29743,1.907115,QSO,3.749162,0.04088723
21.7886,22.04417,21.67067,21.40759,21.08158,1.456711,QSO,3.112375,0.04145243
21.70001,21.48934,21.10517,21.05582,20.43289,1.427913,QSO,3.152984,0.04094515
21.00955,20.70843,20.59544,20.44365,20.27293,0.926952,QSO,4.86734,0.04009214
20.02104,19.83467,19.71666,19.34868,19.35871,1.869055,QSO,10.81911,0.03951595
23.83754,21.68063,21.1345,20.7544,20.58525,0.0002449626,STAR,1.673217,0.04254743
20.79304,20.90123,20.60676,20.70096,20.76644,1.310272,QSO,6.04004,0.0388935
21.63779,21.00447,20.89818,20.7171,20.39723,2.369116,QSO,5.260851,0.03783869
22.30265,21.82961,21.84097,22.08153,21.72123,2.456805,QSO,1.748877,0.03692899
20.68872,20.12967,19.98623,19.58912,19.50773,2.641238,QSO,7.526254,0.04281924
20.6175,20.17373,20.13693,19.84998,19.69382,0.5814721,QSO,5.64604,0.04099296
20.18798,20.35069,20.09131,20.03242,20.08074,1.20235,QSO,5.962254,0.03996954
22.41291,22.29804,21.43892,20.42796,19.46838,1.007981,GALAXY,1.479558,0.04464184
22.05357,21.64322,21.44888,21.28361,22.07562,1.568446,QSO,1.909473,0.04157517
22.12746,21.84209,21.73772,21.54599,21.05855,1.135092,GALAXY,2.009041,0.0388449
23.20634,21.72213,21.55194,21.72466,21.12225,2.710926,QSO,1.286042,0.0436028
25.97957,23.12287,21.34499,20.025,19.37032,0.7615468,GALAXY,1.03259,0.04413131
22.53612,26.59292,22.01601,20.73433,18.61482,0.8998116,GALAXY,0.4450657,0.03998331
19.90382,19.68373,19.28162,19.20958,19.23465,1.14502,QSO,19.61199,0.03812353
21.63363,21.67579,21.53766,21.29275,21.38558,1.860118,QSO,2.592993,0.03558352
23.49289,22.56429,20.82994,19.62335,18.92953,0.7402496,GALAXY,1.691116,0.0305893
23.81687,22.30168,20.55904,19.71441,19.40454,0.4770735,GALAXY,3.591247,0.03513937
23.86507,22.35953,20.8635,19.80403,19.39435,0.5088537,GALAXY,2.671209,0.03425628
22.32951,20.98562,19.17677,18.56887,18.17649,0.3443857,GALAXY,8.229456,0.04187339
26.12731,22.0029,20.50502,19.64431,19.52417,0.4783972,GALAXY,2.119186,0.04071533
22.34394,20.14561,18.55744,17.94721,17.5965,0.342052,GALAXY,11.92372,0.04007718
20.49542,19.81973,19.6273,19.57923,19.30006,2.466391,QSO,8.500323,0.03872661
23.44207,21.93278,20.47998,19.50158,18.9355,0.584248,GALAXY,3.514976,0.03758182
24.28348,23.01948,21.05124,19.74843,19.20317,0.7780693,GALAXY,1.727089,0.03447716
20.42945,20.05725,19.76596,19.79494,19.77504,1.288279,QSO,9.346474,0.03558679
20.10061,20.00955,19.85475,19.85379,19.72859,0.9357421,QSO,9.652846,0.04086937
20.80618,18.93243,17.49508,16.97934,16.61519,0.2211262,GALAXY,17.73061,0.07562038
21.23809,19.25358,17.75645,17.21771,16.91282,0.3035102,GALAXY,18.63935,0.07751702
18.99021,17.31705,16.43047,16.01219,15.67948,0.09566815,GALAXY,26.11276,0.08433036
20.74268,18.57331,17.41834,16.9494,16.60932,0.1578278,GALAXY,19.63497,0.08514334
19.76888,18.05647,17.17856,16.74422,16.42857,0.07546122,GALAXY,26.35357,0.08713449
20.90849,19.24216,17.82656,17.28959,16.95552,0.244216,GALAXY,13.19761,0.0816749
21.53076,19.26726,17.81971,17.27498,16.9374,0.244313,GALAXY,12.98384,0.08036455
